epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,13472.3,1.38966,1.06917,1.78311,0.84191,0.86964,0.91275,0.60069,1.27236,0.78017,1.70657,0.000307,0.000307,0.000307
107,13593,1.38755,1.06107,1.77029,0.87124,0.89125,0.94248,0.62467,1.26038,0.71542,1.69118,0.0003004,0.0003004,0.0003004
108,13713,1.38657,1.08407,1.76608,0.86836,0.88391,0.92632,0.61225,1.25988,0.74397,1.69343,0.0002938,0.0002938,0.0002938
109,13834.3,1.37121,1.03509,1.74213,0.8775,0.88423,0.94511,0.62355,1.26729,0.70395,1.69348,0.0002872,0.0002872,0.0002872
110,13952.9,1.37197,1.05207,1.74589,0.84895,0.88377,0.91855,0.60477,1.2538,0.74244,1.68343,0.0002806,0.0002806,0.0002806
111,14071,1.34683,1.07216,1.75181,0.89069,0.86326,0.94306,0.63066,1.23031,0.69647,1.67163,0.000274,0.000274,0.000274
112,14188.9,1.3697,1.04278,1.76251,0.86721,0.88409,0.94323,0.63356,1.2261,0.69069,1.66292,0.0002674,0.0002674,0.0002674
113,14307.7,1.36044,1.04168,1.7496,0.88467,0.88108,0.94786,0.6359,1.23073,0.67618,1.66053,0.0002608,0.0002608,0.0002608
114,14425.7,1.34158,1.01634,1.72552,0.87782,0.88418,0.9398,0.62829,1.24021,0.68592,1.67423,0.0002542,0.0002542,0.0002542
115,14542.9,1.35071,0.99417,1.73347,0.8941,0.89198,0.95139,0.63387,1.25989,0.65381,1.68657,0.0002476,0.0002476,0.0002476
116,14661.5,1.34408,1.01062,1.73353,0.87287,0.89881,0.93307,0.63331,1.20688,0.68405,1.65044,0.000241,0.000241,0.000241
117,14779.7,1.35821,1.03752,1.7555,0.85275,0.91021,0.94056,0.63202,1.23316,0.69539,1.66248,0.0002344,0.0002344,0.0002344
118,14899.3,1.33076,1.01781,1.72707,0.86691,0.91887,0.95746,0.64781,1.20385,0.64519,1.63256,0.0002278,0.0002278,0.0002278
119,15018.6,1.31664,0.96533,1.70728,0.90038,0.89198,0.95595,0.65191,1.19982,0.63694,1.63797,0.0002212,0.0002212,0.0002212
120,15137.6,1.33276,1.01187,1.72408,0.89026,0.90218,0.95766,0.65156,1.19849,0.64065,1.63381,0.0002146,0.0002146,0.0002146
121,15257.4,1.33411,0.9973,1.71998,0.87435,0.92069,0.95737,0.65953,1.17689,0.63521,1.61372,0.000208,0.000208,0.000208
122,15376.6,1.29655,0.98097,1.688,0.9018,0.89993,0.95819,0.66425,1.16664,0.62333,1.60658,0.0002014,0.0002014,0.0002014
123,15496.9,1.31215,1.02182,1.70624,0.88951,0.89517,0.94714,0.6503,1.18149,0.6444,1.61536,0.0001948,0.0001948,0.0001948
124,15616.2,1.29791,1.01629,1.70172,0.89402,0.90155,0.95807,0.66521,1.15913,0.61382,1.599,0.0001882,0.0001882,0.0001882
125,15734.1,1.3183,0.98408,1.72585,0.88182,0.90383,0.95255,0.65213,1.17464,0.63984,1.60776,0.0001816,0.0001816,0.0001816
126,15854,1.30853,0.97687,1.70653,0.88476,0.90884,0.9589,0.67211,1.12756,0.62048,1.58854,0.000175,0.000175,0.000175
127,15974,1.27849,0.95298,1.67275,0.8891,0.89562,0.95607,0.66937,1.13296,0.6246,1.58608,0.0001684,0.0001684,0.0001684
128,16094.7,1.28896,0.97474,1.67113,0.91189,0.90096,0.9643,0.68215,1.12023,0.59969,1.57306,0.0001618,0.0001618,0.0001618
129,16213.6,1.30644,0.99864,1.70369,0.9169,0.89513,0.96293,0.68281,1.11888,0.60371,1.57003,0.0001552,0.0001552,0.0001552
130,16332.6,1.28476,0.98368,1.69232,0.90685,0.90656,0.96197,0.67748,1.11246,0.60352,1.56772,0.0001486,0.0001486,0.0001486
131,16452.3,1.28346,0.94884,1.68833,0.90638,0.90906,0.96453,0.69087,1.09528,0.59566,1.55974,0.000142,0.000142,0.000142
132,16570.9,1.29648,0.96515,1.68846,0.88479,0.91711,0.95354,0.67629,1.09957,0.61794,1.5609,0.0001354,0.0001354,0.0001354
133,16691.9,1.2728,0.93146,1.66401,0.91369,0.91249,0.96668,0.68625,1.11156,0.57864,1.5614,0.0001288,0.0001288,0.0001288
134,16809.9,1.26653,0.94604,1.6755,0.90519,0.90428,0.96226,0.68446,1.09662,0.60159,1.54727,0.0001222,0.0001222,0.0001222
135,16928.9,1.27504,0.9521,1.68075,0.91174,0.90871,0.96494,0.69175,1.08923,0.58236,1.54554,0.0001156,0.0001156,0.0001156
136,17049,1.26218,0.94816,1.66904,0.91308,0.90975,0.96733,0.68876,1.096,0.57958,1.54975,0.000109,0.000109,0.000109
137,17167.6,1.25495,0.91947,1.6596,0.90718,0.90872,0.96531,0.68844,1.09099,0.57906,1.54514,0.0001024,0.0001024,0.0001024
138,17285,1.28023,0.96312,1.67856,0.90875,0.91887,0.96915,0.69476,1.09062,0.57408,1.53889,9.58e-05,9.58e-05,9.58e-05
139,17404.1,1.25997,0.93731,1.65858,0.90947,0.91933,0.96839,0.69619,1.07793,0.57428,1.53105,8.92e-05,8.92e-05,8.92e-05
140,17522.2,1.26994,0.91906,1.65935,0.91251,0.90796,0.96796,0.69363,1.077,0.57646,1.52412,8.26e-05,8.26e-05,8.26e-05
141,17641.6,1.19591,0.75463,1.72434,0.91465,0.92321,0.97166,0.697,1.08114,0.56653,1.53882,7.6e-05,7.6e-05,7.6e-05
142,17760.4,1.17108,0.71843,1.69813,0.91785,0.92178,0.97086,0.7043,1.06859,0.55125,1.52858,6.94e-05,6.94e-05,6.94e-05
143,17880.4,1.15039,0.71321,1.68468,0.91864,0.91933,0.9724,0.70977,1.04679,0.54896,1.50816,6.28e-05,6.28e-05,6.28e-05
144,17999.6,1.1429,0.68711,1.6643,0.92115,0.91477,0.97084,0.70848,1.04306,0.55266,1.50579,5.62e-05,5.62e-05,5.62e-05
145,18119,1.14295,0.69082,1.6616,0.91847,0.91398,0.97017,0.70586,1.05188,0.55901,1.51016,4.96e-05,4.96e-05,4.96e-05
146,18238.8,1.13232,0.67107,1.65109,0.9203,0.92107,0.97111,0.71255,1.03285,0.55098,1.49693,4.3e-05,4.3e-05,4.3e-05
147,18359,1.13108,0.68701,1.6724,0.92302,0.91809,0.97231,0.71842,1.02365,0.54487,1.49139,3.64e-05,3.64e-05,3.64e-05
148,18479.3,1.13019,0.68898,1.64644,0.91525,0.92048,0.97209,0.71475,1.02555,0.54847,1.49087,2.98e-05,2.98e-05,2.98e-05
149,18598.5,1.11188,0.66791,1.64155,0.91097,0.92343,0.9722,0.71538,1.02478,0.54678,1.48849,2.32e-05,2.32e-05,2.32e-05
150,18717,1.12638,0.67357,1.65199,0.91546,0.92298,0.97287,0.71517,1.02731,0.54706,1.48975,1.66e-05,1.66e-05,1.66e-05
